Arquebus***  	500 gp  	10  	M  	P  	15  	1d10  	1d10
     Halberd 	10 gp 	15 	L 	P/S 	9 	1d10 	2d6
     Hook Fauchard 	10 gp 	8 	L 	P/S 	9 	1d4 	1d4
     Lucern Hammer # 	7 gp 	15 	L 	P/B 	9 	2d4 	1d6
     Military Fork * 	5 gp 	7 	L 	P 	7 	1d8 	2d4
     Partisan # 	10 gp 	8 	L 	P 	9 	1d6 	1d6+1
     Ranseur # 	6 gp 	7 	L 	P 	8 	2d4 	2d4
     Spetum # 	5 gp 	7 	L 	P 	8 	1d6+1 	2d6
     Voulge 	5 gp 	12 	L 	S 	10 	2d4 	2d4
Quarterstaff 	- 	4 	L 	B 	4 	1d6 	1d6
Scourge 	1 gp 	2 	S 	- 	5 	1d4 	1d2
Sickle 	6 sp 	3 	S 	S 	4 	1d4+1 	1d4
Sling 	5 cp 	## 	S 	- 	6 	- 	-
Sling Bullet 	1 cp 	1/2 	S 	B 	- 	1d4+1 	1d6+1
Sling Stone 	- 	1/2 	S 	B 	- 	1d4 	1d4
Spear 	8 sp 	5 	M 	P 	6 	1d6 	1d8
Staff Sling 	2 sp 	2 	M 	- 	11 	- 	-
Sword 	- 	- 	- 	- 	- 	- 	-
     Bastard Sword 	- 	- 	- 	- 	- 	- 	-
          One-Handed 	25 gp 	10 	M 	S 	6 	1d8 	1d12
          Two-Handed 	25 gp 	10 	M 	S 	8 	2d4 	2d8
     Broad Sword 	10 gp 	4 	M 	S 	5 	2d4 	1d6+1
     Khopesh 	10 gp 	7 	M 	S 	9 	2d4 	1d6
     Long Sword 	15 gp 	4 	M 	S 	5 	1d8 	1d12
     Scimitar 	15 gp 	4 	M 	S 	5 	1d8 	1d8
     Short Sword 	10 gp 	3 	S 	P 	3 	1d6 	1d8
     Two-Handed 	50 gp 	15 	L 	S 	10 	1d10 	3d6
Trident 	15 gp 	5 	L 	P 	7 	1d6+1 	3d4
Warhammer 	2 gp 	6 	M 	B 	4 	1d4+1 	1d4
Whip 	1 sp 	2 	M 	- 	8 	1d2 	1


* This weapon inflicts double damage against charging creatures of L or greater size.
** This weapon can dismount a rider on a successful hit.
*** This weapon available only if allowed by the DM.
@ This weapon inflicts double damage when used from the back of a charging mount.
# This weapon inflicts double damage when firmly set to recieve a charge.
## These items weigh little individually. Ten of these weigh one pound. = The "TYPE" category is divided up into Bludgeoning (B), Piercing (P), and Slashing (S).  This indicates the type of attack made, which may alter the weapons effectiveness against different types of armor. See the optional rules chart below. 


WEAPON TYPE VS. ARMOR MODIFIERS

Armor Type 	Slash 	Pierce 	Bludgeon
Banded Mail 	+2 	0 	+1
Brigandine 	+1 	+1 	0
Chain Mail* 	+2 	0 	-2
Field Plate 	+3 	+1 	0
Full plate 	+4 	+3 	0
Leather Armor** 	0 	+2 	0
Plate Mail 	+3 	0 	0
Ring Mail 	+1 	+1 	0
Scale Mail 	0 	+1 	0
Splint Mail 	0 	+1 	+2
Studded Leather 	+2 	+1 	0

* Includes bronze chain mail
** includes padded armor and hides

from www.thievesguild.cc/equipment/weapons.php
