MISCELLANEOUS EQUIPMENT

A B C D E F G H I J K L M N O P Q R S T U V W X Y Z

Item 	Cost 	Weight 	Notes
     Beacon 	150 gp 	50 	Lights 240', burns 2 hrs/pint
     Bullseye 	12 gp 	3 	lights 60', burns 6 hrs/pint
     Hand 	10 gp 	1 	20' w/ narrow beam. candles
     Hooded 	7 gp 	2 	lights 30', burns 6 hrs/pint
Lock 	- 	- 	
     Good 	100 gp 	1 	
     Poor 	20 gp 	1 	
Magnifying Glass 	100 gp 	* 	
Map Case 	8 sp 	.5 	
Map-Making Kit 	35 gp 	2 	12 ruled pages and markers
Marbles (10) 	8 sp 	* 	
Merchant's Scale 	2 gp 	1 	
Mess Kit 	8 gp 	3 	Pot, cup, plate, utensils, spices
Mirror, Small metal 	10 gp 	* 	
Oil (per flask) 	- 	- 	
     Greek Fire 	10 gp 	2 	2d6/1d6/1d6 dmg
     Lamp 	6 cp 	1 	2d6/1d6 dmg
Pan, Cooking 	4 sp 	3 	Iron
Paper (per sheet) 	2 gp 	** 	
Papayrus (per sheet) 	8 sp 	** 	
Parchment (per sheet) 	1 gp 	** 	
Perfume (per vial) 	5 gp 	* 	
Pillow 	4 sp 	* 	Feather with linen casing
Pipe, Smoking 	1 gp 	* 	Range from 5 sp to 20 gp
Piton 	3 cp 	.5 	
Pole (10') 	3 cp 	2 	Wood
Pouch 	- 	- 	
     Large (6"x8"x2") 	1 gp 	* 	Holds 8 lbs.
     Small (4"x6"x2") 	7 sp 	* 	Holds 5 lbs.
Quiver 	8 sp 	1 	
Ration pack 	1 gp 	1 	Dried food for 1 day (3 meals)
Ring, Band (gold) 	16 gp 	* 	
Ring, Band (silver) 	8 gp 	* 	
Rope 	- 	- 	
     Hemp (per 50') 	1 gp 	20 	
     Ladder (per 10') 	5 sp 	10 	10' ((+2sp +5lbs)/5')
     Silk (per 50') 	10 gp 	8 	
Sack 	- 	- 	
     Large (2'x2'x1') 	2 sp 	.5 	Holds 30 lbs.
     Small (1'x1'x8") 	5 cp 	* 	Holds 10 lbs.
Scroll Case 	8 sp 	.5 	
Sealing/Candle Wax (per lb.) 	1 gp 	1 	
Sewing Needle 	5 sp 	** 	
Signal Whistle 	8 sp 	* 	Heard well over 1000 yds.
Signet Ring or Personal Seal 	5 gp 	* 	
Snow Shoes 	7 gp 	2 	Move at 2/3 speed
Soap (per lb.) 	5 sp 	* 	
Sponge 	6 sp 	** 	
Spyglass 	1,000 gp 	1 	
Tabacco, Common 	2 gp 	* 	Per fist (roughly 10 smokes)
Tent 	- 	- 	
     Pavilion 	100 gp 	50 	
     large 	25 gp 	20 	
     Small 	5 gp 	10 	
Theriaca 	5 gp 	1 	50% effective vs. A,B,G,H,K poisons
Tongs 	3 gp 	1 	
Torch 	1 cp 	1 	lights 15', burns 30 minutes
Twine 	2 sp 	* 	500 yard spool
Vial, corked (6 oz.) 	1 sp 	* 	
Water Clock 	1000 gp 	200 	
Waterskin, Large 	2 gp 	1 	3 gallons
Waterskin, small or Wineskin 	8 sp 	1 	1 gallon
Whetstone 	2 cp 	1 	Sharpening stone
Winter Blanket 	5 sp 	3 	
Writing Ink (per vial) 	8 gp 	* 	

* These items weigh little individually. Ten of these items weigh one pound.
** These items have no appreciable weight and should not be considered for encumbrance unless hundreds are carried.


